city,locality,property_type,bedrooms,area_sqft,price_per_sqft,price_lakhs,floor,age_years,facing,parking,furnishing,availability,maintenance_monthly,timestamp
Delhi,Vasant Kunj,Apartment,3 BHK,1551,11634,180,10 out of 24,8,South,Yes,Fully Furnished,Ready to Move,5864,2025-10-02 17:38:24
Delhi,Rohini,Apartment,3 BHK,1354,11923,161,1 out of 21,7,South West,Yes,Fully Furnished,Ready to Move,5433,2025-10-02 17:38:24
Bangalore,Whitefield,Apartment,4 BHK,2170,12216,265,14 out of 23,2,North,Yes,Unfurnished,Ready to Move,6340,2025-10-02 17:38:24
Mumbai,Bandra,Builder Floor,3 BHK,1412,13824,195,2 out of 20,9,North East,Yes,Fully Furnished,Under Construction,5591,2025-10-02 17:38:24
Delhi,South Extension,Apartment,3 BHK,1310,11698,153,1 out of 22,19,West,No,Fully Furnished,Ready to Move,2122,2025-10-02 17:38:24
Bangalore,Koramangala,Apartment,2 BHK,1046,10138,106,17 out of 23,10,South,No,Semi-Furnished,Under Construction,6238,2025-10-02 17:38:24
Mumbai,Worli,Apartment,3 BHK,1538,18054,277,10 out of 21,19,South West,No,Fully Furnished,Ready to Move,5480,2025-10-02 17:38:24
Mumbai,Worli,Villa,2 BHK,925,12688,117,12 out of 21,8,West,Yes,Fully Furnished,Ready to Move,7541,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,2 BHK,1068,10176,108,12 out of 21,7,South,No,Semi-Furnished,Ready to Move,5774,2025-10-02 17:38:24
Delhi,Vasant Kunj,Apartment,5 BHK,2455,9655,237,16 out of 23,1,West,Yes,Semi-Furnished,Under Construction,3535,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,1 BHK,412,9094,37,17 out of 24,18,South West,Yes,Unfurnished,Ready to Move,3582,2025-10-02 17:38:24
Delhi,Rohini,Apartment,3 BHK,1621,8066,130,18 out of 23,15,South West,No,Semi-Furnished,Under Construction,4995,2025-10-02 17:38:24
Bangalore,Whitefield,Apartment,2 BHK,775,11756,91,13 out of 21,10,South,Yes,Unfurnished,Ready to Move,6581,2025-10-02 17:38:24
Mumbai,Juhu,Villa,2 BHK,1083,14932,161,7 out of 20,7,North West,No,Unfurnished,Ready to Move,7529,2025-10-02 17:38:24
Delhi,Dwarka,Apartment,2 BHK,933,10207,95,11 out of 20,16,South West,Yes,Semi-Furnished,Ready to Move,4078,2025-10-02 17:38:24
Bangalore,Whitefield,Apartment,2 BHK,1051,11385,119,5 out of 23,3,North East,Yes,Semi-Furnished,Ready to Move,4863,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,4 BHK,1946,8451,164,13 out of 23,10,North,Yes,Semi-Furnished,Ready to Move,5818,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,5 BHK,2415,13707,331,17 out of 22,5,East,Yes,Fully Furnished,Under Construction,3659,2025-10-02 17:38:24
Bangalore,Indiranagar,Apartment,2 BHK,1131,10364,117,8 out of 22,19,North East,No,Semi-Furnished,Under Construction,6067,2025-10-02 17:38:24
Delhi,South Extension,Villa,3 BHK,1391,7018,97,5 out of 23,17,South,Yes,Fully Furnished,Ready to Move,5225,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,2 BHK,1067,17370,185,19 out of 23,17,North East,Yes,Semi-Furnished,Under Construction,6309,2025-10-02 17:38:24
Bangalore,HSR Layout,Apartment,2 BHK,904,15392,139,1 out of 20,3,South,Yes,Unfurnished,Ready to Move,6537,2025-10-02 17:38:24
Bangalore,Koramangala,Apartment,4 BHK,1929,12136,234,18 out of 20,8,South,Yes,Unfurnished,Ready to Move,5684,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,3 BHK,1450,14382,208,15 out of 22,9,North,Yes,Semi-Furnished,Under Construction,4543,2025-10-02 17:38:24
Mumbai,Bandra,Builder Floor,3 BHK,1549,8636,133,15 out of 21,6,North East,Yes,Semi-Furnished,Ready to Move,3584,2025-10-02 17:38:24
Delhi,Pitampura,Builder Floor,2 BHK,940,11461,107,18 out of 21,18,East,Yes,Unfurnished,Ready to Move,4047,2025-10-02 17:38:24
Delhi,Pitampura,Builder Floor,4 BHK,2029,16425,333,19 out of 20,1,South,Yes,Semi-Furnished,Ready to Move,4724,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,3 BHK,1454,14105,205,7 out of 24,5,West,Yes,Fully Furnished,Under Construction,4527,2025-10-02 17:38:24
Delhi,Vasant Kunj,Builder Floor,3 BHK,1541,12774,196,12 out of 22,9,South East,Yes,Fully Furnished,Ready to Move,5346,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,2 BHK,1075,11653,125,7 out of 22,19,South,Yes,Fully Furnished,Ready to Move,4427,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,3 BHK,1838,13408,246,14 out of 20,5,South,Yes,Fully Furnished,Ready to Move,5553,2025-10-02 17:38:24
Mumbai,Andheri,Villa,3 BHK,1511,9069,137,1 out of 20,17,South West,Yes,Fully Furnished,Under Construction,5385,2025-10-02 17:38:24
Delhi,Pitampura,Builder Floor,3 BHK,1394,8532,118,7 out of 24,17,South West,No,Semi-Furnished,Under Construction,5877,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,2 BHK,1104,13067,144,3 out of 24,5,North West,Yes,Fully Furnished,Under Construction,5798,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,3 BHK,1441,6185,89,6 out of 22,13,South,No,Unfurnished,Under Construction,4742,2025-10-02 17:38:24
Bangalore,HSR Layout,Apartment,2 BHK,1098,13298,146,13 out of 21,7,North West,Yes,Unfurnished,Under Construction,4801,2025-10-02 17:38:24
Delhi,Vasant Kunj,Apartment,2 BHK,1109,8878,98,1 out of 21,14,North East,Yes,Fully Furnished,Ready to Move,5461,2025-10-02 17:38:24
Bangalore,Koramangala,Apartment,2 BHK,1018,12253,124,13 out of 24,4,West,Yes,Unfurnished,Under Construction,5775,2025-10-02 17:38:24
Bangalore,Whitefield,Apartment,4 BHK,1928,14272,275,15 out of 21,18,South East,Yes,Unfurnished,Under Construction,7091,2025-10-02 17:38:24
Delhi,South Extension,Apartment,3 BHK,1560,11104,173,6 out of 20,14,West,Yes,Unfurnished,Under Construction,6039,2025-10-02 17:38:24
Mumbai,Powai,Apartment,1 BHK,669,12847,85,11 out of 23,2,South East,Yes,Unfurnished,Under Construction,4409,2025-10-02 17:38:24
Delhi,Vasant Kunj,Apartment,2 BHK,910,11377,103,1 out of 20,9,South,Yes,Fully Furnished,Ready to Move,5398,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,1 BHK,421,10502,44,5 out of 22,19,North East,Yes,Semi-Furnished,Ready to Move,5016,2025-10-02 17:38:24
Delhi,Dwarka,Builder Floor,4 BHK,1898,10624,201,17 out of 24,3,West,Yes,Fully Furnished,Under Construction,4846,2025-10-02 17:38:24
Delhi,South Extension,Villa,2 BHK,967,11243,108,19 out of 21,17,South East,No,Semi-Furnished,Under Construction,5289,2025-10-02 17:38:24
Mumbai,Juhu,Apartment,2 BHK,969,8951,86,9 out of 24,6,East,Yes,Fully Furnished,Ready to Move,5052,2025-10-02 17:38:24
Mumbai,Juhu,Apartment,3 BHK,1454,13741,199,15 out of 21,15,North West,Yes,Fully Furnished,Under Construction,4929,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,1 BHK,592,14404,85,1 out of 21,7,East,Yes,Unfurnished,Under Construction,5549,2025-10-02 17:38:24
Bangalore,Indiranagar,Apartment,2 BHK,1063,12460,132,6 out of 20,0,North East,Yes,Semi-Furnished,Ready to Move,5323,2025-10-02 17:38:24
Delhi,Dwarka,Apartment,3 BHK,1557,12453,193,10 out of 23,7,South West,Yes,Fully Furnished,Under Construction,4930,2025-10-02 17:38:24
Delhi,Dwarka,Apartment,3 BHK,1443,14333,206,17 out of 20,15,West,Yes,Unfurnished,Under Construction,4863,2025-10-02 17:38:24
Bangalore,JP Nagar,Apartment,4 BHK,1838,13467,247,10 out of 22,17,South West,Yes,Unfurnished,Under Construction,7092,2025-10-02 17:38:24
Delhi,Rohini,Apartment,3 BHK,1457,14826,216,5 out of 23,13,West,Yes,Unfurnished,Ready to Move,4616,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,2 BHK,957,12928,123,7 out of 22,8,North,No,Fully Furnished,Under Construction,5933,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,2 BHK,998,13584,135,13 out of 23,10,North West,No,Unfurnished,Ready to Move,6316,2025-10-02 17:38:24
Delhi,Rohini,Apartment,2 BHK,1077,13198,142,18 out of 21,5,South West,Yes,Fully Furnished,Under Construction,6086,2025-10-02 17:38:24
Delhi,Dwarka,Apartment,2 BHK,1047,11113,116,14 out of 21,4,South,Yes,Semi-Furnished,Ready to Move,6240,2025-10-02 17:38:24
Bangalore,Indiranagar,Apartment,1 BHK,398,13430,53,10 out of 22,16,North West,Yes,Semi-Furnished,Ready to Move,5254,2025-10-02 17:38:24
Bangalore,Koramangala,Builder Floor,2 BHK,1026,13269,136,9 out of 22,18,North East,Yes,Fully Furnished,Ready to Move,5519,2025-10-02 17:38:24
Delhi,Pitampura,Builder Floor,4 BHK,2090,11095,231,12 out of 21,17,South,Yes,Unfurnished,Under Construction,4737,2025-10-02 17:38:24
Mumbai,Powai,Apartment,4 BHK,1931,7218,139,16 out of 20,4,West,Yes,Semi-Furnished,Ready to Move,4824,2025-10-02 17:38:24
Bangalore,JP Nagar,Apartment,4 BHK,2074,11357,235,6 out of 23,19,North,Yes,Semi-Furnished,Under Construction,6097,2025-10-02 17:38:24
Delhi,Rohini,Villa,5 BHK,2402,13899,333,12 out of 23,16,West,Yes,Semi-Furnished,Under Construction,3926,2025-10-02 17:38:24
Delhi,Rohini,Apartment,4 BHK,2029,8812,178,11 out of 21,6,South East,Yes,Unfurnished,Ready to Move,4035,2025-10-02 17:38:24
Delhi,Vasant Kunj,Apartment,3 BHK,1536,14931,229,1 out of 24,18,North,Yes,Unfurnished,Ready to Move,6714,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,2 BHK,1007,10785,108,7 out of 24,16,West,Yes,Unfurnished,Under Construction,4722,2025-10-02 17:38:24
Mumbai,Juhu,Apartment,2 BHK,953,5745,54,13 out of 20,8,South West,Yes,Unfurnished,Under Construction,3455,2025-10-02 17:38:24
Mumbai,Juhu,Apartment,3 BHK,1472,12545,184,9 out of 20,8,East,Yes,Fully Furnished,Ready to Move,5663,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,2 BHK,879,11565,101,4 out of 23,15,South,Yes,Unfurnished,Ready to Move,3581,2025-10-02 17:38:24
Mumbai,Worli,Apartment,3 BHK,1489,12683,188,5 out of 22,9,South East,No,Semi-Furnished,Under Construction,6728,2025-10-02 17:38:24
Mumbai,Worli,Apartment,3 BHK,1492,9316,138,9 out of 24,6,South East,Yes,Fully Furnished,Ready to Move,4212,2025-10-02 17:38:24
Delhi,Rohini,Apartment,4 BHK,1925,6941,133,16 out of 23,16,North,Yes,Fully Furnished,Ready to Move,4468,2025-10-02 17:38:24
Bangalore,Indiranagar,Builder Floor,3 BHK,1452,15039,218,17 out of 24,0,East,Yes,Unfurnished,Ready to Move,3847,2025-10-02 17:38:24
Mumbai,Powai,Apartment,1 BHK,544,14841,80,3 out of 24,18,South West,Yes,Semi-Furnished,Ready to Move,7163,2025-10-02 17:38:24
Delhi,Vasant Kunj,Villa,3 BHK,1518,9844,149,19 out of 22,6,South East,No,Fully Furnished,Under Construction,3364,2025-10-02 17:38:24
Delhi,Rohini,Apartment,3 BHK,1475,10691,157,3 out of 20,19,South East,Yes,Fully Furnished,Under Construction,4825,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,4 BHK,1888,15220,287,13 out of 23,6,South West,Yes,Semi-Furnished,Under Construction,4320,2025-10-02 17:38:24
Bangalore,Indiranagar,Apartment,5 BHK,2497,16421,410,5 out of 22,4,West,Yes,Fully Furnished,Ready to Move,4350,2025-10-02 17:38:24
Bangalore,JP Nagar,Apartment,3 BHK,1532,12660,193,5 out of 23,14,North East,Yes,Semi-Furnished,Ready to Move,5832,2025-10-02 17:38:24
Mumbai,Andheri,Builder Floor,3 BHK,1471,11562,170,2 out of 22,17,North West,Yes,Unfurnished,Under Construction,2935,2025-10-02 17:38:24
Delhi,South Extension,Builder Floor,3 BHK,1394,8493,118,14 out of 21,3,North,Yes,Fully Furnished,Under Construction,5018,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,4 BHK,1889,13934,263,14 out of 21,5,West,Yes,Unfurnished,Under Construction,5339,2025-10-02 17:38:24
Delhi,Pitampura,Builder Floor,2 BHK,1057,7117,75,15 out of 21,11,South West,Yes,Fully Furnished,Under Construction,4475,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,2 BHK,1208,10869,131,19 out of 21,3,West,Yes,Unfurnished,Under Construction,6014,2025-10-02 17:38:24
Delhi,Rohini,Apartment,2 BHK,1106,10134,112,17 out of 21,17,West,Yes,Unfurnished,Ready to Move,5168,2025-10-02 17:38:24
Delhi,South Extension,Builder Floor,3 BHK,1649,7355,121,13 out of 24,1,West,No,Fully Furnished,Ready to Move,4880,2025-10-02 17:38:24
Bangalore,Whitefield,Apartment,4 BHK,2130,11144,237,14 out of 24,2,South,No,Unfurnished,Ready to Move,5951,2025-10-02 17:38:24
Bangalore,Indiranagar,Apartment,3 BHK,1726,12086,208,18 out of 22,7,West,No,Semi-Furnished,Under Construction,6627,2025-10-02 17:38:24
Bangalore,Koramangala,Builder Floor,3 BHK,1472,10699,157,19 out of 22,16,North West,Yes,Unfurnished,Under Construction,3545,2025-10-02 17:38:24
Bangalore,HSR Layout,Apartment,5 BHK,2471,13189,325,10 out of 23,17,South East,Yes,Semi-Furnished,Ready to Move,6770,2025-10-02 17:38:24
Delhi,Rohini,Builder Floor,3 BHK,1426,9262,132,4 out of 22,2,North,Yes,Unfurnished,Ready to Move,5097,2025-10-02 17:38:24
Bangalore,HSR Layout,Apartment,4 BHK,1997,10680,213,18 out of 24,1,West,Yes,Semi-Furnished,Under Construction,4941,2025-10-02 17:38:24
Bangalore,HSR Layout,Builder Floor,2 BHK,1138,12796,145,16 out of 22,14,West,Yes,Fully Furnished,Under Construction,5590,2025-10-02 17:38:24
Bangalore,HSR Layout,Builder Floor,4 BHK,2137,14964,319,5 out of 22,11,West,Yes,Unfurnished,Under Construction,4450,2025-10-02 17:38:24
Mumbai,Juhu,Apartment,1 BHK,465,13288,61,12 out of 22,7,South East,No,Fully Furnished,Under Construction,5252,2025-10-02 17:38:24
Delhi,Vasant Kunj,Apartment,3 BHK,1437,14775,212,5 out of 22,6,South East,Yes,Fully Furnished,Ready to Move,4961,2025-10-02 17:38:24
Delhi,Vasant Kunj,Apartment,4 BHK,2065,11745,242,12 out of 24,11,South East,Yes,Semi-Furnished,Under Construction,5344,2025-10-02 17:38:24
Bangalore,Whitefield,Builder Floor,5 BHK,2590,12571,325,10 out of 23,10,South,Yes,Semi-Furnished,Under Construction,2210,2025-10-02 17:38:24
Bangalore,HSR Layout,Apartment,5 BHK,2496,12953,323,12 out of 21,16,North East,Yes,Fully Furnished,Ready to Move,5355,2025-10-02 17:38:24
Bangalore,JP Nagar,Builder Floor,3 BHK,1481,12943,191,13 out of 22,9,South East,Yes,Semi-Furnished,Ready to Move,5885,2025-10-02 17:38:24
Delhi,Dwarka,Builder Floor,2 BHK,988,10329,102,10 out of 20,15,North West,Yes,Semi-Furnished,Under Construction,5138,2025-10-02 17:38:24
Delhi,Rohini,Apartment,4 BHK,2071,12443,257,14 out of 21,15,North West,No,Fully Furnished,Ready to Move,5629,2025-10-02 17:38:24
Mumbai,Worli,Apartment,3 BHK,1523,13247,201,15 out of 23,5,South East,Yes,Unfurnished,Under Construction,5126,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,3 BHK,1600,11552,184,2 out of 24,8,North,Yes,Unfurnished,Ready to Move,6894,2025-10-02 17:38:24
Delhi,Vasant Kunj,Apartment,4 BHK,1934,10336,199,17 out of 20,10,North West,Yes,Fully Furnished,Ready to Move,5492,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,2 BHK,1006,10338,104,6 out of 21,15,North West,Yes,Unfurnished,Under Construction,5415,2025-10-02 17:38:24
Bangalore,Indiranagar,Builder Floor,2 BHK,861,10838,93,13 out of 20,8,West,Yes,Unfurnished,Ready to Move,4925,2025-10-02 17:38:24
Bangalore,JP Nagar,Apartment,2 BHK,1053,13592,143,19 out of 23,18,North East,No,Fully Furnished,Ready to Move,2841,2025-10-02 17:38:24
Bangalore,Whitefield,Apartment,1 BHK,656,12277,80,5 out of 21,11,South West,No,Unfurnished,Under Construction,3757,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,4 BHK,1960,10037,196,16 out of 24,3,East,Yes,Semi-Furnished,Ready to Move,3429,2025-10-02 17:38:24
Mumbai,Powai,Apartment,3 BHK,1538,11694,179,2 out of 21,7,South,Yes,Fully Furnished,Ready to Move,5191,2025-10-02 17:38:24
Delhi,South Extension,Apartment,1 BHK,416,13865,57,10 out of 20,12,South,No,Semi-Furnished,Ready to Move,5829,2025-10-02 17:38:24
Delhi,Dwarka,Apartment,4 BHK,1966,10518,206,19 out of 24,9,North,Yes,Fully Furnished,Under Construction,5471,2025-10-02 17:38:24
Bangalore,Indiranagar,Builder Floor,4 BHK,2057,8181,168,6 out of 24,18,South,Yes,Unfurnished,Ready to Move,4551,2025-10-02 17:38:24
Bangalore,HSR Layout,Builder Floor,1 BHK,501,7656,38,8 out of 21,3,North,Yes,Fully Furnished,Ready to Move,5614,2025-10-02 17:38:24
Mumbai,Bandra,Villa,2 BHK,819,12115,99,11 out of 20,18,West,Yes,Fully Furnished,Under Construction,4228,2025-10-02 17:38:24
Bangalore,Whitefield,Apartment,3 BHK,1475,12124,178,14 out of 20,14,South West,Yes,Fully Furnished,Under Construction,4506,2025-10-02 17:38:24
Bangalore,JP Nagar,Apartment,3 BHK,1671,9626,160,18 out of 22,6,North,Yes,Semi-Furnished,Ready to Move,4058,2025-10-02 17:38:24
Bangalore,Whitefield,Apartment,4 BHK,1995,9843,196,11 out of 21,16,East,Yes,Unfurnished,Ready to Move,4196,2025-10-02 17:38:24
Bangalore,Koramangala,Builder Floor,1 BHK,682,8725,59,13 out of 23,4,South West,Yes,Unfurnished,Ready to Move,6750,2025-10-02 17:38:24
Mumbai,Powai,Apartment,1 BHK,692,13600,94,5 out of 21,8,South,Yes,Fully Furnished,Under Construction,6260,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,2 BHK,1004,14035,140,1 out of 22,11,South West,Yes,Semi-Furnished,Ready to Move,5180,2025-10-02 17:38:24
Mumbai,Powai,Apartment,3 BHK,1519,8311,126,15 out of 20,3,South,Yes,Semi-Furnished,Ready to Move,5172,2025-10-02 17:38:24
Bangalore,Indiranagar,Apartment,4 BHK,1932,9683,187,2 out of 23,8,South West,Yes,Semi-Furnished,Ready to Move,4848,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,3 BHK,1435,12188,174,9 out of 22,16,North West,Yes,Unfurnished,Under Construction,6463,2025-10-02 17:38:24
Mumbai,Juhu,Apartment,2 BHK,1059,12907,136,8 out of 20,17,North East,Yes,Unfurnished,Ready to Move,4622,2025-10-02 17:38:24
Delhi,Rohini,Apartment,1 BHK,384,9116,35,17 out of 24,14,South East,Yes,Unfurnished,Under Construction,5052,2025-10-02 17:38:24
Mumbai,Worli,Builder Floor,4 BHK,1939,13569,263,2 out of 20,16,North East,No,Semi-Furnished,Under Construction,6557,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,4 BHK,2155,10551,227,10 out of 24,19,North,Yes,Unfurnished,Under Construction,5001,2025-10-02 17:38:24
Delhi,Rohini,Villa,3 BHK,1605,12493,200,14 out of 20,2,North,Yes,Unfurnished,Ready to Move,3249,2025-10-02 17:38:24
Bangalore,Indiranagar,Apartment,2 BHK,1162,14357,166,11 out of 22,12,North East,Yes,Unfurnished,Ready to Move,7175,2025-10-02 17:38:24
Bangalore,Whitefield,Apartment,1 BHK,632,12456,78,19 out of 23,1,South West,Yes,Semi-Furnished,Ready to Move,5887,2025-10-02 17:38:24
Bangalore,JP Nagar,Builder Floor,1 BHK,499,13165,65,3 out of 22,18,North East,Yes,Unfurnished,Ready to Move,5016,2025-10-02 17:38:24
Bangalore,Indiranagar,Apartment,3 BHK,1476,11972,176,10 out of 24,15,West,Yes,Unfurnished,Ready to Move,5349,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,1 BHK,623,11770,73,8 out of 22,0,South,Yes,Fully Furnished,Under Construction,7098,2025-10-02 17:38:24
Bangalore,Indiranagar,Builder Floor,3 BHK,1410,12695,178,16 out of 24,1,West,Yes,Fully Furnished,Under Construction,4768,2025-10-02 17:38:24
Delhi,Vasant Kunj,Builder Floor,2 BHK,1056,11226,118,8 out of 24,3,North West,Yes,Semi-Furnished,Ready to Move,4400,2025-10-02 17:38:24
Mumbai,Powai,Builder Floor,3 BHK,1565,12916,202,8 out of 24,9,South,Yes,Fully Furnished,Ready to Move,6998,2025-10-02 17:38:24
Delhi,Vasant Kunj,Apartment,4 BHK,1903,10404,197,9 out of 24,11,South,Yes,Unfurnished,Ready to Move,5662,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,2 BHK,782,14516,113,7 out of 20,5,North East,Yes,Semi-Furnished,Ready to Move,5676,2025-10-02 17:38:24
Mumbai,Worli,Villa,1 BHK,542,11100,60,3 out of 23,9,South East,No,Unfurnished,Under Construction,4761,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,3 BHK,1489,9533,141,18 out of 20,13,South West,Yes,Semi-Furnished,Ready to Move,6198,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,2 BHK,1127,8197,92,19 out of 23,1,East,Yes,Unfurnished,Ready to Move,5219,2025-10-02 17:38:24
Bangalore,Whitefield,Apartment,2 BHK,961,9947,95,9 out of 22,16,East,No,Fully Furnished,Under Construction,4413,2025-10-02 17:38:24
Delhi,Rohini,Apartment,5 BHK,2483,10564,262,4 out of 24,0,West,Yes,Fully Furnished,Under Construction,3482,2025-10-02 17:38:24
Mumbai,Bandra,Builder Floor,2 BHK,981,13598,133,19 out of 20,14,South,Yes,Fully Furnished,Ready to Move,6586,2025-10-02 17:38:24
Bangalore,Indiranagar,Builder Floor,3 BHK,1536,13534,207,6 out of 21,15,North East,Yes,Unfurnished,Under Construction,5410,2025-10-02 17:38:24
Delhi,South Extension,Builder Floor,2 BHK,887,10176,90,13 out of 24,18,South East,No,Fully Furnished,Ready to Move,5474,2025-10-02 17:38:24
Mumbai,Juhu,Apartment,2 BHK,1049,6321,66,11 out of 21,6,North West,Yes,Fully Furnished,Under Construction,4392,2025-10-02 17:38:24
Delhi,Dwarka,Apartment,1 BHK,512,11270,57,6 out of 24,4,South West,Yes,Fully Furnished,Under Construction,3700,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,2 BHK,815,13879,113,4 out of 23,11,West,Yes,Fully Furnished,Ready to Move,4973,2025-10-02 17:38:24
Mumbai,Worli,Builder Floor,3 BHK,1440,14041,202,2 out of 20,15,South West,No,Semi-Furnished,Ready to Move,5469,2025-10-02 17:38:24
Delhi,South Extension,Apartment,1 BHK,549,13373,73,10 out of 21,0,North East,Yes,Unfurnished,Under Construction,5643,2025-10-02 17:38:24
Mumbai,Worli,Builder Floor,2 BHK,1133,9716,110,12 out of 23,11,South West,Yes,Semi-Furnished,Under Construction,5554,2025-10-02 17:38:24
Delhi,Pitampura,Apartment,1 BHK,542,8960,48,4 out of 21,3,South East,Yes,Semi-Furnished,Ready to Move,6108,2025-10-02 17:38:24
Mumbai,Worli,Villa,1 BHK,466,12920,60,2 out of 20,1,North East,No,Fully Furnished,Under Construction,4820,2025-10-02 17:38:24
Delhi,South Extension,Apartment,3 BHK,1462,12720,185,18 out of 21,0,North,Yes,Unfurnished,Under Construction,5162,2025-10-02 17:38:24
Bangalore,HSR Layout,Apartment,4 BHK,1958,13717,268,16 out of 24,19,South East,No,Unfurnished,Ready to Move,4119,2025-10-02 17:38:24
Mumbai,Worli,Builder Floor,3 BHK,1585,9443,149,13 out of 20,15,West,Yes,Unfurnished,Under Construction,4689,2025-10-02 17:38:24
Bangalore,JP Nagar,Apartment,2 BHK,1085,11529,125,16 out of 22,18,West,Yes,Fully Furnished,Ready to Move,5089,2025-10-02 17:38:24
Delhi,South Extension,Apartment,3 BHK,1491,13697,204,7 out of 21,15,North East,Yes,Unfurnished,Under Construction,3999,2025-10-02 17:38:24
Mumbai,Andheri,Apartment,3 BHK,1425,9711,138,11 out of 23,19,East,Yes,Unfurnished,Ready to Move,6082,2025-10-02 17:38:24
Bangalore,JP Nagar,Apartment,3 BHK,1551,11250,174,11 out of 24,13,North East,No,Fully Furnished,Under Construction,7084,2025-10-02 17:38:24
Bangalore,HSR Layout,Villa,3 BHK,1700,10305,175,11 out of 23,16,West,Yes,Fully Furnished,Ready to Move,7874,2025-10-02 17:38:24
Bangalore,JP Nagar,Apartment,3 BHK,1511,14095,212,13 out of 22,19,South West,No,Semi-Furnished,Under Construction,5377,2025-10-02 17:38:24
Mumbai,Bandra,Apartment,2 BHK,952,12103,115,15 out of 20,4,South,Yes,Fully Furnished,Ready to Move,3797,2025-10-02 17:38:24
